({'dim': 292, 'wordNgrams': 2, 'ws': 5}, 0.6764885185937818)
({'dim': 805, 'wordNgrams': 1, 'ws': 9}, 0.6451940662466978)
({'dim': 744, 'wordNgrams': 2, 'ws': 4}, 0.6766917293233082)
({'dim': 580, 'wordNgrams': 7, 'ws': 1}, 0.6537289168868117)
({'dim': 784, 'wordNgrams': 5, 'ws': 8}, 0.6549481812639707)
({'dim': 855, 'wordNgrams': 2, 'ws': 7}, 0.6773013615118878)
({'dim': 812, 'wordNgrams': 8, 'ws': 3}, 0.6501727291200975)
({'dim': 715, 'wordNgrams': 4, 'ws': 1}, 0.6646006909164804)
({'dim': 426, 'wordNgrams': 7, 'ws': 8}, 0.6524080471448892)
({'dim': 328, 'wordNgrams': 1, 'ws': 1}, 0.6439748018695387)
({'dim': 628, 'wordNgrams': 1, 'ws': 6}, 0.6434667750457224)
({'dim': 895, 'wordNgrams': 7, 'ws': 8}, 0.6531192846982321)
({'dim': 451, 'wordNgrams': 5, 'ws': 5}, 0.6553546027230238)
({'dim': 165, 'wordNgrams': 7, 'ws': 5}, 0.6541353383458647)
({'dim': 175, 'wordNgrams': 8, 'ws': 8}, 0.650375939849624)
({'dim': 659, 'wordNgrams': 8, 'ws': 3}, 0.6522048364153628)
({'dim': 697, 'wordNgrams': 2, 'ws': 1}, 0.6776061776061776)
({'dim': 921, 'wordNgrams': 6, 'ws': 7}, 0.6555578134525503)
({'dim': 889, 'wordNgrams': 1, 'ws': 1}, 0.6440764072343019)
({'dim': 257, 'wordNgrams': 6, 'ws': 8}, 0.6565738671001828)
({'dim': 954, 'wordNgrams': 3, 'ws': 6}, 0.670697012802276)
({'dim': 277, 'wordNgrams': 7, 'ws': 8}, 0.6556594188173136)
({'dim': 626, 'wordNgrams': 3, 'ws': 6}, 0.6714082503556188)
({'dim': 321, 'wordNgrams': 1, 'ws': 6}, 0.6435683804104857)
({'dim': 317, 'wordNgrams': 5, 'ws': 2}, 0.6547449705344442)
({'dim': 592, 'wordNgrams': 5, 'ws': 9}, 0.657793131477342)
({'dim': 623, 'wordNgrams': 9, 'ws': 6}, 0.6520016256858362)
({'dim': 287, 'wordNgrams': 8, 'ws': 7}, 0.6516968095915464)
({'dim': 797, 'wordNgrams': 2, 'ws': 7}, 0.6779109937004674)
({'dim': 920, 'wordNgrams': 1, 'ws': 5}, 0.6431619589514327)
({'dim': 352, 'wordNgrams': 6, 'ws': 2}, 0.6560658402763666)
