dim,wordNgrams,ws,score
292,2,5,0.6764885185937818
805,1,9,0.6451940662466978
744,2,4,0.6766917293233082
580,7,1,0.6537289168868117
784,5,8,0.6549481812639707
855,2,7,0.6773013615118878
812,8,3,0.6501727291200975
715,4,1,0.6646006909164804
426,7,8,0.6524080471448892
328,1,1,0.6439748018695387
628,1,6,0.6434667750457224
895,7,8,0.6531192846982321
451,5,5,0.6553546027230238
165,7,5,0.6541353383458647
175,8,8,0.650375939849624
659,8,3,0.6522048364153628
697,2,1,0.6776061776061776
921,6,7,0.6555578134525503
889,1,1,0.6440764072343019
257,6,8,0.6565738671001828
954,3,6,0.670697012802276
277,7,8,0.6556594188173136
626,3,6,0.6714082503556188
321,1,6,0.6435683804104857
317,5,2,0.6547449705344442
592,5,9,0.657793131477342
623,9,6,0.6520016256858362
287,8,7,0.6516968095915464
797,2,7,0.6779109937004674
920,1,5,0.6431619589514327
352,6,2,0.6560658402763666
903,7,7,0.6543385490753911
387,7,8,0.6521032310505994
589,2,3,0.6789270473480999
278,6,2,0.6535257061572851
320,6,8,0.6557610241820768
777,7,6,0.6557610241820768
751,4,1,0.6636862426336111
676,9,2,0.6507823613086771
632,3,2,0.6707986181670392
795,1,5,0.6445844340581183
551,6,9,0.6544401544401545
855,4,9,0.6603332655964235
272,9,8,0.6534241007925219
102,1,4,0.6446860394228815
757,5,9,0.6572851046535257
140,9,6,0.6528144686039423
272,9,5,0.6506807559439138
876,9,6,0.6505791505791506
839,3,6,0.6688681162365373
855,6,9,0.6568786831944726
358,5,7,0.655456208087787
188,6,8,0.6571834992887624
840,3,7,0.6705954074375127
550,2,9,0.6783174151595204
441,6,3,0.6571834992887624
471,9,4,0.6522048364153628
414,7,7,0.6530176793334688
517,8,6,0.6498679130258077
285,1,8,0.6454988823409876
845,7,4,0.6534241007925219
414,4,6,0.6642958748221907
673,1,2,0.6459053038000406
598,2,5,0.676590123958545
153,9,2,0.6513919934972566
204,1,5,0.6451940662466978
940,3,4,0.6675472464946149
480,7,5,0.6532208900629953
489,9,9,0.6511887827677302
912,1,5,0.6452956716114611
243,9,2,0.651900020321073
513,6,6,0.6549481812639707
300,5,9,0.6568786831944726
927,1,8,0.6446860394228815
915,6,7,0.6543385490753911
167,6,8,0.6567770778297094
751,2,3,0.6779109937004674
141,5,6,0.6586059743954481
241,2,3,0.6780125990652306
736,4,4,0.6652103231050599
140,5,7,0.6567770778297094
368,4,3,0.6625685836212152
588,9,7,0.6506807559439138
486,3,5,0.6714082503556188
687,2,6,0.6780125990652306
759,8,9,0.6509855720382036
235,2,9,0.6763869132290184
630,6,4,0.657386710018289
514,1,8,0.644482828693355
410,7,6,0.6540337329811015
581,9,4,0.6508839666734404
502,4,6,0.662060556797399
405,3,1,0.6723226986384881
823,5,4,0.6574883153830522
925,6,1,0.6547449705344442
896,7,1,0.6543385490753911
674,5,4,0.655456208087787
558,1,7,0.6441780125990653
